Circuit,Type,Nodes,Mean_MSE,Max_Z,Gini,p99
B15-T200,Golden,3044,5.4564095,17.830479,0.3598075,26.470829
EXT_AIG_ADDER,Golden,2162,0.022123616,4.392671,0.17206067,0.057030104
EXT_AIG_ARBITER,Golden,23233,0.066626206,9.598876,0.2688151,1.96825
EXT_AIG_BAR,Golden,5263,0.11816775,63.351562,0.41880924,0.078735635
EXT_AIG_CAVLC,Golden,1279,0.032881297,20.65808,0.3097561,0.1406247
EXT_AIG_CTRL,Golden,306,0.026650447,14.699596,0.27616233,0.11578795
EXT_AIG_DEC,Golden,312,0.071974084,3.33551,0.23241591,0.3640284
EXT_AIG_DIV,Golden,101603,0.09782833,177.44252,0.2275433,0.24161354
EXT_AIG_HYP,Golden,420512,0.34211364,620.40155,0.16802621,0.78772247
EXT_AIG_I2C,Golden,2176,0.03903683,45.895298,0.3337791,0.21014553
EXT_AIG_INT2FLOAT,Golden,443,0.025887547,11.010869,0.2621854,0.29982316
EXT_AIG_LOG2,Golden,54467,0.09418271,61.42795,0.25126833,0.31667513
EXT_AIG_MAX,Golden,5383,0.0874074,32.38841,0.2793094,0.21561946
EXT_AIG_MEM_CTRL,Golden,82265,0.070396006,152.0226,0.38234884,0.19029318
EXT_AIG_MULTIPLIER,Golden,50504,0.05301629,25.423344,0.18570346,0.12196753
EXT_AIG_PRIORITY,Golden,1907,0.04752767,5.5325565,0.21056902,0.14582434
EXT_AIG_ROUTER,Golden,459,0.028438535,3.8758426,0.16467911,0.07778319
EXT_AIG_SIN,Golden,8898,0.056413263,42.262756,0.20591503,0.33575237
EXT_AIG_SQRT,Golden,41042,0.13684869,192.11491,0.30454803,0.23244461
EXT_AIG_SQUARE,Golden,35492,0.03666872,45.71893,0.18669617,0.12089109
EXT_AIG_VOTER,Golden,26718,0.0430698,8.189242,0.11831921,0.0950722
EXT_ARITHMETIC_ADDER,Golden,2162,0.022123616,4.392671,0.17206067,0.057030104
EXT_ARITHMETIC_BAR,Golden,5263,0.11816775,63.351562,0.41880924,0.078735635
EXT_ARITHMETIC_DIV,Golden,101603,0.09782833,177.44252,0.2275433,0.24161354
EXT_ARITHMETIC_HYP,Golden,420512,0.34211364,620.40155,0.16802621,0.78772247
EXT_ARITHMETIC_LOG2,Golden,54467,0.09418271,61.42795,0.25126833,0.31667513
EXT_ARITHMETIC_MAX,Golden,5383,0.0874074,32.38841,0.2793094,0.21561946
EXT_ARITHMETIC_MULTIPLIER,Golden,50504,0.05301629,25.423344,0.18570346,0.12196753
EXT_ARITHMETIC_SIN,Golden,8898,0.056413263,42.262756,0.20591503,0.33575237
EXT_ARITHMETIC_SQRT,Golden,41042,0.13684869,192.11491,0.30454803,0.23244461
EXT_ARITHMETIC_SQUARE,Golden,35492,0.03666872,45.71893,0.18669617,0.12089109
EXT_RANDOM_CONTROL_ARBITER,Golden,23233,0.066626206,9.598876,0.2688151,1.96825
EXT_RANDOM_CONTROL_CAVLC,Golden,1279,0.032881297,20.65808,0.3097561,0.1406247
EXT_RANDOM_CONTROL_CTRL,Golden,306,0.026650447,14.699596,0.27616233,0.11578795
EXT_RANDOM_CONTROL_DEC,Golden,312,0.071974084,3.33551,0.23241591,0.3640284
EXT_RANDOM_CONTROL_I2C,Golden,2176,0.03903683,45.895298,0.3337791,0.21014553
EXT_RANDOM_CONTROL_INT2FLOAT,Golden,443,0.025887547,11.010869,0.2621854,0.29982316
EXT_RANDOM_CONTROL_MEM_CTRL,Golden,82265,0.070396006,152.0226,0.38234884,0.19029318
EXT_RANDOM_CONTROL_PRIORITY,Golden,1907,0.04752767,5.5325565,0.21056902,0.14582434
